thread,ops,allocator
1,18653748,mak
2,23739915,mak
4,31023456,mak
6,30708880,mak
10,29679098,mak
16,30135377,mak
20,30420414,mak
24,26131052,mak
1,18658093,mak
2,25109042,mak
4,30514830,mak
6,30972333,mak
10,30041315,mak
16,29247377,mak
20,30066648,mak
24,25993995,mak
1,18683024,mak
2,22275880,mak
4,30771496,mak
6,31349155,mak
10,29593003,mak
16,29700774,mak
20,29816793,mak
24,26145374,mak
