thread,exec_time,allocator
2,3.408392,mak
4,2.249248,mak
6,3.341624,mak
10,4.458442,mak
16,4.372324,mak
20,4.390531,mak
24,4.063231,mak
2,5.704411,mak
4,3.814020,mak
6,3.787569,mak
10,4.468719,mak
16,4.144968,mak
20,4.263426,mak
24,4.090320,mak
2,5.619656,mak
4,3.801607,mak
6,4.114341,mak
10,4.462835,mak
16,4.079317,mak
20,4.327854,mak
24,4.096810,mak
