thread,exec_time,allocator
2,4.165910,r
4,2.018528,r
6,1.224730,r
10,0.798607,r
16,0.617402,r
20,0.546771,r
24,0.479557,r
2,3.649542,r
4,1.842013,r
6,1.213713,r
10,0.804140,r
16,0.624638,r
20,0.542869,r
24,0.471480,r
2,3.460726,r
4,1.823218,r
6,1.297279,r
10,0.777454,r
16,0.614668,r
20,0.544388,r
24,0.485963,r
