thread,exec_time,allocator
1,4.802981,r
2,2.363122,r
4,1.225472,r
6,0.886200,r
10,0.596360,r
16,0.616084,r
20,0.498546,r
24,0.437691,r
1,4.249019,r
2,2.116450,r
4,1.247656,r
6,0.866514,r
10,0.657653,r
16,0.606747,r
20,0.499653,r
24,0.433617,r
1,4.218057,r
2,2.133421,r
4,1.274787,r
6,0.905022,r
10,0.609621,r
16,0.592680,r
20,0.503347,r
24,0.461964,r
