thread,exec_time,allocator
1,137.318406,mak
2,139.646277,mak
4,32.582808,mak
6,27.791770,mak
10,17.383974,mak
16,12.961395,mak
20,11.269281,mak
24,11.958036,mak
1,138.592555,mak
2,138.269487,mak
4,34.214810,mak
6,26.995043,mak
10,17.286861,mak
16,11.907899,mak
20,11.753240,mak
24,12.655454,mak
1,139.157105,mak
2,127.090753,mak
4,32.861621,mak
6,27.778329,mak
10,16.921626,mak
16,12.711961,mak
20,11.679892,mak
24,12.439624,mak
